ID,concoct_name,Label
concoct_id_1,于玉米成熟时采收，摘取花柱，晒干。,concoct
concoct_id_2,刮去残留粗皮，洗净，切块或丝，干燥。,concoct
concoct_id_3,刮去粗皮，洗净，润透，切丝，干燥。,concoct
concoct_id_4,刷净果皮上绒毛，晒干。,concoct
concoct_id_5,刷净泥土，打碎,concoct
concoct_id_6,刷净，敲成小块,concoct
concoct_id_7,去净杂质，用水浸泡，约七成透，取出，待润至内外湿度均匀，切片或切成小块，晒干,concoct
concoct_id_8,去竹片，洗净，微火焙黄，剪段。,concoct
concoct_id_9,取何首乌片或块，照炖法（通则0213）用黑豆汁拌匀，置非铁质的适宜容器内，炖至汁液吸尽，或照蒸法（通则0213），清蒸或用黑豆汁拌匀后蒸，蒸至内外均呈棕褐色，或晒至半干，切片，干燥。,concoct
concoct_id_10,取净乌梅微淋清水湿润，使肉绵软，略晾，敲碎，剥取净肉即成。或置蒸笼内蒸至极烂，放箩内揉擦，去核，取肉，晒干。,concoct
concoct_id_11,取净侧柏叶，置锅内用武火炒至焦褐色，存性，喷洒清水，取出，晒干。,concoct
concoct_id_12,取净半夏，大小分开，用8%白矾溶液浸泡或煮至内无干心，口尝微有麻舌感，取出，洗净，切厚片，干燥。,concoct
concoct_id_13,取净半夏，大小分开，用水浸泡至内无干心时，取出，另取生姜切片煎汤，加白矾与半夏共煮透，取出，晾干，或晾至半干，干燥，或切薄片，干燥。,concoct
concoct_id_14,取净地榆片，照炒炭法（通则0213）炒至表面焦黑色，内部棕褐色。,concoct
concoct_id_15,取净小蓟，置锅内用武火炒至七成变黑色，但须存性，过铁丝筛，喷洒清水，取出，晒干。,concoct
concoct_id_16,取净山楂，照清炒法（通则0213）炒至色变深。,concoct
concoct_id_17,取净山楂，照清炒法（通则0213）炒至表面焦褐色，内部黄褐色。,concoct
concoct_id_18,取净山萸肉，用黄酒拌匀，放罐内或其他容器内，封严，放在加水的锅中，蒸至酒被吸尽，取出晾干（每100斤用黄酒20斤）。,concoct
concoct_id_19,取净棕榈，照煅炭法（通则0213）制炭。,concoct
concoct_id_20,取净牛蒡子，置锅内，用文火炒至微鼓起，外面呈微黄色并略有香气，取出，放凉。,concoct
concoct_id_21,取净白扁豆，照清炒法（通则0213）炒至微黄色具焦斑。用时捣碎。,concoct
concoct_id_22,取净白芍片，照清炒法（通则0213）炒至微黄色。,concoct
concoct_id_23,取净竹茹，加姜汁拌匀，置之不理锅内用文火炒至黄色，取出，晾干。,concoct
concoct_id_24,取净莱菔子，照清炒法（通则0213）炒至微鼓起。用时捣碎。,concoct
concoct_id_25,取净藕节置锅内炒至外面呈黑色，内部呈老黄色，稍洒清水，取出，干燥即成。,concoct
concoct_id_26,取净诃子，稍浸，闷润，去核，干燥。,concoct
concoct_id_27,取净谷芽，照清炒法（通则0213）炒至深黄色。,concoct
concoct_id_28,取净酸枣仁，照清炒法（通则0213）炒至鼓起，色微变深。用时捣碎。,concoct
concoct_id_29,取净鸡内金，依烫法（药物与热砂同炒的一种炮制方法）炒至鼓起，喷醋，取出，干燥。,concoct
concoct_id_30,取净麦芽，照清炒法（通则0213）炒至棕黄色，放凉，筛去灰屑。,concoct
concoct_id_31,取净麦芽，照清炒法（通则0213）炒至焦褐色，放凉，筛去灰屑。,concoct
concoct_id_32,取刷净的龙骨，在无烟的炉火上或坩埚内煅红透，取出，放凉，碾碎。,concoct
concoct_id_33,取原药材，去净杂质，刷去泥土及灰屑，打碎。生用以潜阳镇静，安神为主。,concoct
concoct_id_34,取原药材，拣去杂质，洗净，干燥，用时捣碎。,concoct
concoct_id_35,取原药材，除去杂质及残茎，洗净，捞出沥干水，初段，干燥。,concoct
concoct_id_36,取川乌，大小个分开，用水浸泡至内无干心，取出，加水煮沸4～6小时（或蒸6～8小时）至取大个及实心者切开内无白心，口尝微有麻舌感时，取出，晾至六成干，切片，干燥。,concoct
concoct_id_37,取抽去木心者，除去杂质，略洗，润透，切段，干燥。,concoct
concoct_id_38,取拣净的乳香，置锅内用文火炒至表面稍见熔化点，略呈黄色，取出放凉,concoct
concoct_id_39,取拣净的穿山甲片，分开大小，另将砂子置锅内炒至轻松，加入穿山甲片，炒至鼓起呈金黄色时，取出，筛去砂子，放凉,concoct
concoct_id_40,取拣净的薏苡仁置锅内用文火炒至微黄色，取出，放凉即可。或用麸皮同炒亦可。,concoct
concoct_id_41,取枇杷叶丝，加炼熟的蜂蜜和适量开水，拌匀，稍闷，置锅内用文火炒至不粘手为度，取出，放凉,concoct
concoct_id_42,取枳实片，照麸炒法（通则0213）炒至色变深。,concoct
