ID,symptom_name,Label
symptom_id_1,三叉神经痛,symptom
symptom_id_2,三联征,symptom
symptom_id_3,上下肢冷,symptom
symptom_id_4,上呼吸道感染,symptom
symptom_id_5,上火,symptom
symptom_id_6,上热下寒,symptom
symptom_id_7,上盛下虚,symptom
symptom_id_8,上肢关节疼痛,symptom
symptom_id_9,上肢冰冷,symptom
symptom_id_10,上肢冰凉,symptom
symptom_id_11,上肢拘挛,symptom
symptom_id_12,上肢青肿,symptom
symptom_id_13,上肢麻木,symptom
symptom_id_14,上脘,symptom
symptom_id_15,上腹剧痛,symptom
symptom_id_16,上腹灼烧感,symptom
symptom_id_17,上腹痛,symptom
symptom_id_18,下利,symptom
symptom_id_19,下利不止,symptom
symptom_id_20,下利清谷,symptom
symptom_id_21,下唇疮疤,symptom
symptom_id_22,下坠感,symptom
symptom_id_23,下焦虚寒,symptom
symptom_id_24,下痢,symptom
symptom_id_25,下痢脓血,symptom
symptom_id_26,下痢黏冻,symptom
symptom_id_27,下肢不利,symptom
symptom_id_28,下肢乏力,symptom
symptom_id_29,下肢关节痛,symptom
symptom_id_30,下肢冰冷,symptom
symptom_id_31,下肢冰凉,symptom
symptom_id_32,下肢冷,symptom
symptom_id_33,下肢剧痛,symptom
symptom_id_34,下肢发凉,symptom
symptom_id_35,下肢无力,symptom
symptom_id_36,下肢水肿,symptom
symptom_id_37,下肢浮肿,symptom
symptom_id_38,下肢疼痛,symptom
symptom_id_39,下肢痛,symptom
symptom_id_40,下肢痿弱,symptom
symptom_id_41,下肢瘀斑,symptom
symptom_id_42,下肢紫癜,symptom
symptom_id_43,下肢继发脉管炎,symptom
symptom_id_44,下肢肿,symptom
symptom_id_45,下肢肿胀,symptom
symptom_id_46,下肢骨折,symptom
symptom_id_47,下肢麻痹,symptom
symptom_id_48,下腹冷痛,symptom
symptom_id_49,下腹压痛,symptom
symptom_id_50,下腹反跳痛,symptom
symptom_id_51,下腹坚硬,symptom
symptom_id_52,下腹条索状,symptom
symptom_id_53,下腹水肿,symptom
symptom_id_54,下腹灼热,symptom
symptom_id_55,下腹痛,symptom
symptom_id_56,下腹胀,symptom
symptom_id_57,下腹胀痛,symptom
symptom_id_58,下腹隆起,symptom
symptom_id_59,下蛔,symptom
symptom_id_60,下黑色瘀块甚多,symptom
symptom_id_61,不出汗,symptom
symptom_id_62,不呕,symptom
symptom_id_63,不孕,symptom
symptom_id_64,不孕不育,symptom
symptom_id_65,不孕症,symptom
symptom_id_66,不安,symptom
symptom_id_67,不思饮食,symptom
symptom_id_68,不愿说话,symptom
symptom_id_69,不欲咽,symptom
symptom_id_70,不欲饮,symptom
symptom_id_71,不渴,symptom
symptom_id_72,不烦渴,symptom
symptom_id_73,不眠,symptom
symptom_id_74,不育,symptom
symptom_id_75,不能下咽,symptom
symptom_id_76,不能平卧,symptom
symptom_id_77,不能自视其足,symptom
symptom_id_78,不能转颈,symptom
symptom_id_79,不言,symptom
symptom_id_80,不语,symptom
symptom_id_81,不说话,symptom
symptom_id_82,不进饮食,symptom
symptom_id_83,丘疹,symptom
symptom_id_84,丝虫病,symptom
symptom_id_85,两目上窜,symptom
symptom_id_86,两目上视,symptom
symptom_id_87,两目微黄,symptom
symptom_id_88,两目直视,symptom
symptom_id_89,两肺底湿啰音,symptom
symptom_id_90,两胁胀满,symptom
symptom_id_91,两胁胀痛,symptom
symptom_id_92,两胁隐痛,symptom
symptom_id_93,两足略可屈伸,symptom
symptom_id_94,两颊发红,symptom
symptom_id_95,两颊唇红,symptom
symptom_id_96,两颧潮红,symptom
symptom_id_97,中寒气滞,symptom
symptom_id_98,中度黄疸,symptom
symptom_id_99,中心性浆液性脉络膜视网膜病变,symptom
symptom_id_100,中心黄,symptom
symptom_id_101,中恶昏迷,symptom
symptom_id_102,中暑,symptom
symptom_id_103,中毒性肠炎,symptom
symptom_id_104,中毒性肺炎,symptom
symptom_id_105,中气不足,symptom
symptom_id_106,中脘不舒,symptom
symptom_id_107,中脘不通,symptom
symptom_id_108,中脘坚硬,symptom
symptom_id_109,中脘板硬,symptom
symptom_id_110,中脘气冲,symptom
symptom_id_111,中脘略舒,symptom
symptom_id_112,中脘疼,symptom
symptom_id_113,中部光红,symptom
symptom_id_114,中风,symptom
symptom_id_115,中风偏瘫,symptom
symptom_id_116,中风口㖞,symptom
symptom_id_117,中风口噤,symptom
symptom_id_118,中风失音,symptom
symptom_id_119,中风痰厥,symptom
symptom_id_120,中风痰壅,symptom
symptom_id_121,中风痰迷,symptom
symptom_id_122,中风瘫痪,symptom
symptom_id_123,丹毒,symptom
symptom_id_124,丹痧,symptom
symptom_id_125,主动脉瓣杂音,symptom
symptom_id_126,主诉经量少,symptom
symptom_id_127,久咳,symptom
symptom_id_128,久咳气喘,symptom
symptom_id_129,久嗽不止,symptom
symptom_id_130,久嗽虚喘,symptom
symptom_id_131,久泻,symptom
symptom_id_132,久泻不止,symptom
symptom_id_133,久泻久痢,symptom
symptom_id_134,久泻脱肛,symptom
symptom_id_135,久溃不敛,symptom
symptom_id_136,久疟,symptom
symptom_id_137,久疟疟母,symptom
symptom_id_138,久病虚羸,symptom
symptom_id_139,久痢,symptom
symptom_id_140,久痢久泻,symptom
symptom_id_141,久虚不复,symptom
symptom_id_142,久蹲起立,symptom
symptom_id_143,乌头毒,symptom
symptom_id_144,乌头类药毒,symptom
symptom_id_145,乏力,symptom
symptom_id_146,乙型脑炎,symptom
symptom_id_147,乙状结肠,symptom
symptom_id_148,乙肝表面抗原阳性,symptom
symptom_id_149,乙脑,symptom
symptom_id_150,习惯性便秘,symptom
symptom_id_151,习惯性流产,symptom
symptom_id_152,乳少,symptom
symptom_id_153,乳房下坠感,symptom
symptom_id_154,乳房疼痛,symptom
symptom_id_155,乳房痛,symptom
symptom_id_156,乳房红肿,symptom
symptom_id_157,乳房肿块,symptom
symptom_id_158,乳房肿痛,symptom
symptom_id_159,乳房胀,symptom
symptom_id_160,乳房胀痛,symptom
symptom_id_161,乳汁不下,symptom
symptom_id_162,乳汁不畅,symptom
symptom_id_163,乳汁不行,symptom
symptom_id_164,乳汁不通,symptom
symptom_id_165,乳汁未下,symptom
symptom_id_166,乳汁郁积,symptom
symptom_id_167,乳痈,symptom
symptom_id_168,乳痈肿痛,symptom
symptom_id_169,乳癖,symptom
symptom_id_170,乳突压痛,symptom
symptom_id_171,乳糜,symptom
symptom_id_172,乳糜尿,symptom
symptom_id_173,乳腺炎,symptom
symptom_id_174,乳蛾,symptom
symptom_id_175,乳闭乳痈,symptom
symptom_id_176,乳食停滞,symptom
symptom_id_177,二便不利,symptom
symptom_id_178,二便不自知,symptom
symptom_id_179,二便不通,symptom
symptom_id_180,二便如注,symptom
symptom_id_181,二便正常,symptom
symptom_id_182,二便通畅,symptom
symptom_id_183,二尖瓣关闭不全,symptom
symptom_id_184,二目上视,symptom
symptom_id_185,二目塌陷,symptom
symptom_id_186,五心烦热,symptom
symptom_id_187,五更泻,symptom
symptom_id_188,亚健康,symptom
symptom_id_189,亚急性后壁心肌梗塞,symptom
symptom_id_190,亡阳虚脱,symptom
symptom_id_191,交感暑邪,symptom
symptom_id_192,产后,symptom
symptom_id_193,产后乏力,symptom
symptom_id_194,产后乳汁少,symptom
symptom_id_195,产后体弱,symptom
symptom_id_196,产后停经,symptom
symptom_id_197,产后出血,symptom
symptom_id_198,产后受风,symptom
symptom_id_199,产后大出汗,symptom
symptom_id_200,产后失血,symptom
symptom_id_201,产后失血过多,symptom
symptom_id_202,产后子宫血管破裂出血,symptom
symptom_id_203,产后干咳,symptom
symptom_id_204,产后恶露,symptom
symptom_id_205,产后恶露不下,symptom
symptom_id_206,产后暴脱,symptom
symptom_id_207,产后瘀滞,symptom
symptom_id_208,产后瘀血,symptom
symptom_id_209,产后瘀血刺痛,symptom
symptom_id_210,产后瘀阻,symptom
symptom_id_211,产后风痉,symptom
symptom_id_212,产户发炎,symptom
symptom_id_213,产户疼痛,symptom
symptom_id_214,人中歪斜,symptom
symptom_id_215,人工流产,symptom
symptom_id_216,会阴冲出,symptom
symptom_id_217,传染性肝炎,symptom
symptom_id_218,传染性黄疸型肝炎,symptom
symptom_id_219,伤寒,symptom
symptom_id_220,伤寒发狂,symptom
symptom_id_221,伤寒坏病,symptom
symptom_id_222,伤寒热病,symptom
symptom_id_223,伤寒表实,symptom
symptom_id_224,伤酒,symptom
symptom_id_225,伤食,symptom
symptom_id_226,伤食受寒,symptom
symptom_id_227,伤饥失饱,symptom
symptom_id_228,低压高,symptom
symptom_id_229,低氧血症,symptom
symptom_id_230,低烧,symptom
symptom_id_231,低热,symptom
symptom_id_232,低血压,symptom
symptom_id_233,体倦乏力,symptom
symptom_id_234,体力增强,symptom
symptom_id_235,体困,symptom
symptom_id_236,体型偏瘦,symptom
symptom_id_237,体型偏胖,symptom
symptom_id_238,体型壮实,symptom
symptom_id_239,体型瘦弱,symptom
symptom_id_240,体壮,symptom
symptom_id_241,体寒,symptom
symptom_id_242,体寒肢冷,symptom
symptom_id_243,体弱,symptom
symptom_id_244,体弱多病,symptom
symptom_id_245,体格壮实,symptom
symptom_id_246,体格强健,symptom
symptom_id_247,体沉,symptom
symptom_id_248,体瘦,symptom
symptom_id_249,体胖,symptom
symptom_id_250,体虚,symptom
symptom_id_251,体虚乏力,symptom
symptom_id_252,体虚欲脱,symptom
symptom_id_253,体虱,symptom
symptom_id_254,体质壮实,symptom
symptom_id_255,体质虚弱,symptom
symptom_id_256,体软乏力,symptom
symptom_id_257,体重上升,symptom
symptom_id_258,体重下降,symptom
symptom_id_259,体重偏低,symptom
symptom_id_260,体重偏轻,symptom
symptom_id_261,体重减少,symptom
symptom_id_262,体重减轻,symptom
symptom_id_263,体重增加,symptom
symptom_id_264,便下不爽,symptom
symptom_id_265,便下白黏,symptom
symptom_id_266,便下粗黏,symptom
symptom_id_267,便下顺畅,symptom
symptom_id_268,便干,symptom
symptom_id_269,便泻灼肛,symptom
symptom_id_270,便溏,symptom
symptom_id_271,便溏加重,symptom
symptom_id_272,便爽,symptom
symptom_id_273,便硬,symptom
symptom_id_274,便秘,symptom
symptom_id_275,便稀,symptom
symptom_id_276,便粘,symptom
symptom_id_277,便细,symptom
symptom_id_278,便结,symptom
symptom_id_279,便蛔,symptom
symptom_id_280,便血,symptom
symptom_id_281,便血尿血,symptom
symptom_id_282,便血崩漏,symptom
symptom_id_283,便血症,symptom
symptom_id_284,便血痔血,symptom
symptom_id_285,便血脱肛,symptom
symptom_id_286,便软,symptom
symptom_id_287,便频,symptom
symptom_id_288,便黄,symptom
symptom_id_289,便黏,symptom
symptom_id_290,便黑,symptom
symptom_id_291,倒经,symptom
symptom_id_292,倚息不得卧,symptom
symptom_id_293,倚息不能平卧,symptom
symptom_id_294,倦乏,symptom
symptom_id_295,倦怠,symptom
symptom_id_296,倦怠乏力,symptom
symptom_id_297,偏头痛,symptom
symptom_id_298,偏执,symptom
symptom_id_299,偏正头痛,symptom
symptom_id_300,偏瘦,symptom
symptom_id_301,偏瘫,symptom
symptom_id_302,停瘀,symptom
symptom_id_303,停经,symptom
symptom_id_304,健忘,symptom
symptom_id_305,健忘惊悸,symptom
symptom_id_306,健脾化湿,symptom
symptom_id_307,先天性心脏瓣膜病,symptom
symptom_id_308,先天性心脏病,symptom
symptom_id_309,先痢下黏冻,symptom
symptom_id_310,克罗恩病,symptom
symptom_id_311,入睡困难,symptom
symptom_id_312,全脸浮肿,symptom
symptom_id_313,全身乏力,symptom
symptom_id_314,全身倦怠,symptom
symptom_id_315,全身僵硬,symptom
symptom_id_316,全身关节疼痛,symptom
symptom_id_317,全身冰冷,symptom
symptom_id_318,全身冰凉,symptom
symptom_id_319,全身冷,symptom
symptom_id_320,全身发热,symptom
symptom_id_321,全身发臭,symptom
symptom_id_322,全身恶寒,symptom
symptom_id_323,全身抽动,symptom
symptom_id_324,全身无力,symptom
symptom_id_325,全身水肿,symptom
symptom_id_326,全身沉重,symptom
symptom_id_327,全身浮肿,symptom
symptom_id_328,全身游走痛,symptom
symptom_id_329,全身疼痛,symptom
symptom_id_330,全身痛,symptom
symptom_id_331,全身痛酸,symptom
symptom_id_332,全身痛酸楚,symptom
symptom_id_333,全身痧点,symptom
symptom_id_334,全身瘙痒,symptom
symptom_id_335,全身紧,symptom
symptom_id_336,全身红,symptom
symptom_id_337,全身肿,symptom
symptom_id_338,全身肿胀,symptom
symptom_id_339,全身肿胀感,symptom
symptom_id_340,全身虚弱,symptom
symptom_id_341,全身蚁行感,symptom
symptom_id_342,全身酸困,symptom
